t	protein
25	333.545371113975
50	1596.27545979898
75	4286.42803710967
100	8816.60718743488
125	15524.291910111
150	24681.2117251635
175	36501.7032763973
200	51150.1509077778
225	68747.6041305719
250	89377.6556887544
275	113091.655545333
300	139913.32858049
325	169842.857112731
350	202860.48345959
375	238929.682531198
400	277999.949774747
425	320009.245554804
450	364886.13318523
475	412551.644270954
500	462920.901739258
525	515904.527920065
550	571409.862259054
575	629342.010704942
600	689604.746492233
625	752101.279931637
650	816734.912910184
675	883409.592078532
700	952030.37315091
725	1022503.80734963
750	1094738.25977803
775	1168644.16838977
800	1244134.25122642
825	1321123.66870729
850	1399530.14696522
875	1479274.06751884
900	1560278.52794681
925	1642469.37767494
950	1725775.23249425
975	1810127.47099153
1000	1895460.21568617
1025	1981710.30132419
1050	2068817.23247618
1075	2156723.13231666
1100	2245372.68422411
1125	2334713.06763048
1150	2424693.88936211
1175	2515267.11155013
1200	2606386.97704229
1225	2698009.93312048
1250	2790094.55421471
1275	2882601.46420481
1300	2975493.25881338
1325	3068734.42851633
1350	3162291.28232955
1375	3256131.87277094
1400	3350225.92224495
1425	3444544.75105106
1450	3539061.20717829
1475	3633749.59801282
1500	3728585.62405609
1525	3823546.31472446
1550	3918609.96627912
1575	4013756.08191561
1600	4108965.31402559
1625	4204219.40862942
1650	4299501.15196616
1675	4394794.31921731
1700	4490083.62533222
1725	4585354.67791621
1750	4680593.93213647
1775	4775788.64759641
1800	4870926.84712531
1825	4965997.27742746
1850	5060989.37153285
1875	5155893.21298999
1900	5250699.50174054
1925	5345399.52161537
1950	5439985.10939101
1975	5534448.62534631
2000	5628782.92525969
2025	5722981.33378791
2050	5817037.61916866
2075	5910945.96919046
2100	6004700.96837452
2125	6098297.57631493
2150	6191731.10712497
2175	6284997.20993891
2200	6378091.85042036
2225	6471011.29323011
2250	6563752.08540759
2275	6656311.0406224
2300	6748685.22425352
2325	6840871.93925585
2350	6932868.71277518
2375	7024673.28347434
2400	7116283.58953498
2425	7207697.7573008
2450	7298914.09052967
2475	7389931.06022368
2500	7480747.29500718
2525	7571361.57202478
2550	7661772.80833203
2575	7751980.05275346
2600	7841982.47818309
2625	7931779.37430455
2650	8021370.14070829
2675	8110754.28038522
2700	8199931.39357645
2725	8288901.17196039
2750	8377663.39315906
2775	8466217.91554648
2800	8554564.67334307
2825	8642703.6719804
2850	8730634.98372205
2875	8818358.74352628
2900	8905875.14513792
2925	8993184.43739657
2950	9080286.92074969
2975	9167182.94395928
3000	9253872.90099154
3025	9340357.22807975
3050	9426636.40095066
3075	9512710.93220556
3100	9598581.3688476
3125	9684248.28994727
3150	9769712.30443848
3175	9854974.04903815
3200	9940034.18628244
3225	10024893.4026733
3250	10109552.406929
3275	10194011.9283338
3300	10278272.7151796
3325	10362335.5332966
3350	10446201.1646667
3375	10529870.4061152
3400	10613344.0680768
3425	10696622.9734323
3450	10779707.9564109
3475	10862599.8615553
3500	10945299.5427462
3525	11027807.862283
3550	11110125.6900161
3575	11192253.9025312
3600	11274193.3823788
3625	11355945.0173496
3650	11437509.6997914
3675	11518888.3259667
3700	11600081.7954466
3725	11681091.0105417
3750	11761916.8757659
3775	11842560.2973319
3800	11923022.1826772
3825	12003303.4400185
3850	12083404.9779322
3875	12163327.7049615
3900	12243072.5292462
3925	12322640.3581765
3950	12402032.0980669
3975	12481248.6538514
4000	12560290.9287973
4025	12639159.8242373
4050	12717856.2393189
4075	12796381.0707693
4100	12874735.2126764
4125	12952919.5562838
4150	13030934.9897997
4175	13108782.3982184
4200	13186462.6631541
4225	13263976.6626867
4250	13341325.2712177
4275	13418509.3593372
4300	13495529.7937002
4325	13572387.4369117
4350	13649083.1474219
4375	13725617.7794279
4400	13801992.1827842
4425	13878207.2029206
4450	13954263.6807664
4475	14030162.4526814
4500	14105904.3503937
4525	14181490.2009421
4550	14256920.8266255
4575	14332197.0449559
4600	14407319.6686181
4625	14482289.505432
4650	14557107.3583215
4675	14631774.0252855
4700	14706290.2993741
4725	14780656.9686684
4750	14854874.8162625
4775	14928944.6202508
4800	15002867.1537167
4825	15076643.1847246
4850	15150273.4763156
4875	15223758.786504
4900	15297099.8682783
4925	15370297.4696024
4950	15443352.3334207
4975	15516265.1976639
5000	15589036.7952576
5025	15661667.8541324
5050	15734159.097235
