	t	protein
281	2820	21496632.5767114
282	2830	21584730.0301242
283	2840	21672744.4038502
284	2850	21760675.7155918
285	2860	21848523.9869863
286	2870	21936289.2435051
287	2880	22023971.5143564
288	2890	22111570.8323894
289	2900	22199087.234001
290	2910	22286520.7590447
291	2920	22373871.4507409
292	2930	22461139.3555904
293	2940	22548324.5232883
294	2950	22635427.0066414
295	2960	22722446.8614865
296	2970	22809384.1466107
297	2980	22896238.9236736
298	2990	22983011.257132
299	3000	23069701.2141642
300	3010	23156308.8645988
301	3020	23242834.2808428
302	3030	23329277.5378127
303	3040	23415638.7128664
304	3050	23501917.8857373
305	3060	23588115.1384693
306	3070	23674230.5553535
307	3080	23760264.2228667
308	3090	23846216.2296105
309	3100	23932086.6662525
310	3110	24017875.6254688
311	3120	24103583.2018872
312	3130	24189209.4920321
313	3140	24274754.5942713
314	3150	24360218.6087625
315	3160	24445601.6374024
316	3170	24530903.7837763
317	3180	24616125.1531091
318	3190	24701265.8522171
319	3200	24786325.9894614
320	3210	24871305.6747019
321	3220	24956205.0192525
322	3230	25041024.1358375
323	3240	25125763.138549
324	3250	25210422.1428047
325	3260	25295001.2653076
326	3270	25379500.6240057
327	3280	25463920.3380535
328	3290	25548260.5277734
329	3300	25632521.3146192
330	3310	25716702.8211392
331	3320	25800805.1709409
332	3330	25884828.4886567
333	3340	25968772.8999094
334	3350	26052638.5312795
335	3360	26136425.5102729
336	3370	26220133.9652893
337	3380	26303764.025591
338	3390	26387315.8212733
339	3400	26470789.483235
340	3410	26554185.1431491
341	3420	26637502.9334354
342	3430	26720742.9872326
343	3440	26803905.438372
344	3450	26886990.4213505
345	3460	26969998.0713061
346	3470	27052928.5239921
347	3480	27135781.915753
348	3490	27218558.3835009
349	3500	27301258.0646918
350	3510	27383881.0973034
351	3520	27466427.6198125
352	3530	27548897.7711735
353	3540	27631291.6907972
354	3550	27713609.5185304
355	3560	27795851.3946353
356	3570	27878017.4597702
357	3580	27960107.8549699
358	3590	28042122.7216273
359	3600	28124062.2014749
360	3610	28205926.4365668
361	3620	28287715.5692613
362	3630	28369429.7422042
363	3640	28451069.0983114
364	3650	28532633.7807533
365	3660	28614123.9329385
366	3670	28695539.6984989
367	3680	28776881.2212737
368	3690	28858148.6452955
369	3700	28939342.1147754
370	3710	29020461.7740891
371	3720	29101507.7677632
372	3730	29182480.2404616
373	3740	29263379.3369729
374	3750	29344205.202197
375	3760	29424957.9811335
376	3770	29505637.8188687
377	3780	29586244.8605644
378	3790	29666779.251446
379	3800	29747241.1367913
380	3810	29827630.6619198
381	3820	29907947.9721814
382	3830	29988193.2129466
383	3840	30068366.5295958
384	3850	30148468.0675095
385	3860	30228497.9720588
386	3870	30308456.3885957
387	3880	30388343.462444
388	3890	30468159.3388903
389	3900	30547904.1631751
390	3910	30627578.0804844
391	3920	30707181.2359415
392	3930	30786713.7745985
393	3940	30866175.8414289
394	3950	30945567.5813193
395	3960	31024889.1390624
396	3970	31104140.6593493
397	3980	31183322.2867629
398	3990	31262434.1657701
399	4000	31341476.440716
400	4010	31420449.2558166
401	4020	31499352.7551526
402	4030	31578187.0826633
403	4040	31656952.3821405
404	4050	31735648.797222
405	4060	31814276.4713869
406	4070	31892835.547949
407	4080	31971326.1700518
408	4090	32049748.4806632
409	4100	32128102.6225704
410	4110	32206388.7383742
411	4120	32284606.9704852
412	4130	32362757.461118
413	4140	32440840.3522875
414	4150	32518855.7858034
415	4160	32596803.9032668
416	4170	32674684.8460653
417	4180	32752498.7553691
418	4190	32830245.7721272
419	4200	32907926.0370629
420	4210	32985539.6906706
421	4220	33063086.873212
422	4230	33140567.7247122
423	4240	33217982.3849568
424	4250	33295330.9934878
425	4260	33372613.6896012
426	4270	33449830.612343
427	4280	33526981.9005068
428	4290	33604067.6926305
429	4300	33681088.1269934
430	4310	33758043.3416136
431	4320	33834933.474245
432	4330	33911758.6623749
433	4340	33988519.0432218
434	4350	34065214.753732
435	4360	34141845.9305781
436	4370	34218412.7101563
437	4380	34294915.2285844
438	4390	34371353.6216995
439	4400	34447728.0250558
440	4410	34524038.573923
441	4420	34600285.403284
442	4430	34676468.6478332
443	4440	34752588.4419746
444	4450	34828644.9198204
445	4460	34904638.2151887
446	4470	34980568.4616025
447	4480	35056435.792288
448	4490	35132240.3401729
449	4500	35207982.2378852
450	4510	35283661.6177516
451	4520	35359278.6117966
452	4530	35434833.3517407
453	4540	35510325.9689996
454	4550	35585756.594683
455	4560	35661125.3595932
456	4570	35736432.3942245
457	4580	35811677.8287617
458	4590	35886861.7930796
459	4600	35961984.4167417
460	4610	36037045.8289996
461	4620	36112046.1587922
462	4630	36186985.5347447
463	4640	36261864.0851677
464	4650	36336681.9380572
465	4660	36411439.2210932
466	4670	36486136.0616396
467	4680	36560772.5867433
468	4690	36635348.9231337
469	4700	36709865.1972224
470	4710	36784321.5351025
471	4720	36858718.0625483
472	4730	36933054.9050148
473	4740	37007332.1876374
474	4750	37081550.0352315
475	4760	37155708.5722924
476	4770	37229807.9229947
477	4780	37303848.2111924
478	4790	37377829.5604183
479	4800	37451752.0938841
480	4810	37525615.9344803
481	4820	37599421.2047758
482	4830	37673168.0270179
483	4840	37746856.5231324
484	4850	37820486.8147233
485	4860	37894059.023073
486	4870	37967573.2691421
487	4880	38041029.6735695
488	4890	38114428.3566725
489	4900	38187769.4384468
490	4910	38261053.0385665
491	4920	38334279.2763847
492	4930	38407448.2709326
493	4940	38480560.1409209
494	4950	38553615.0047392
495	4960	38626612.9804562
496	4970	38699554.1858204
497	4980	38772438.7382596
498	4990	38845266.754882
499	5000	38918038.3524757
500	5010	38990753.6475095
501	5020	39063412.756133
502	5030	39136015.7941768
503	5040	39208562.8771531
504	5050	39281054.1202558
505	5060	39353489.6383609
506	5070	39425869.5460272
507	5080	39498193.9574963
508	5090	39570462.9866931
509	5100	39642676.7472263
510	5110	39714835.3523887
511	5120	39786938.9151579
512	5130	39858987.5481964
513	5140	39930981.3638526
514	5150	40002920.4741606
515	5160	40074804.9908412
516	5170	40146635.0253022
517	5180	40218410.688639
518	5190	40290132.0916352
519	5200	40361799.3447626
520	5210	40433412.5581826
521	5220	40504971.8417463
522	5230	40576477.3049947
523	5240	40647929.0571602
524	5250	40719327.2071662
525	5260	40790671.8636286
526	5270	40861963.1348553
527	5280	40933201.1288481
528	5290	41004385.9533023
529	5300	41075517.7156078
530	5310	41146596.5228496
531	5320	41217622.4818086
532	5330	41288595.6989617
533	5340	41359516.2804835
534	5350	41430384.3322457
535	5360	41501199.9598189
536	5370	41571963.2684724
537	5380	41642674.3631755
538	5390	41713333.3485977
539	5400	41783940.3291099
540	5410	41854495.4087845
541	5420	41924998.6913966
542	5430	41995450.2804245
543	5440	42065850.2790505
544	5450	42136198.7901613
545	5460	42206495.9163493
546	5470	42276741.7599128
547	5480	42346936.4228568
548	5490	42417080.0068941
549	5500	42487172.6134457
550	5510	42557214.3436417
551	5520	42627205.2983218
552	5530	42697145.5780363
553	5540	42767035.2830469
554	5550	42836874.5133271
555	5560	42906663.3685635
556	5570	42976401.9481558
557	5580	43046090.3512185
558	5590	43115728.6765808
559	5600	43185317.022788
560	5610	43254855.4881017
561	5620	43324344.1705012
562	5630	43393783.1676839
563	5640	43463172.577066
564	5650	43532512.4957835
565	5660	43601803.0206931
566	5670	43671044.2483722
567	5680	43740236.275121
568	5690	43809379.1969621
569	5700	43878473.1096418
570	5710	43947518.1086309
571	5720	44016514.2891255
572	5730	44085461.7460476
573	5740	44154360.574046
574	5750	44223210.8674971
575	5760	44292012.7205057
