t	protein
20	215.845918022638
40	1041.93706143687
60	2820.89254001887
80	5848.58989734924
100	10378.7690476745
120	16627.2367837142
140	24775.704226739
160	34975.2870753915
180	47349.696180825
200	61998.1438122056
220	78997.9889595857
240	98407.1431410489
260	120266.256439242
280	144600.701894559
300	171422.374929716
320	200731.323166722
340	232517.220808807
360	266760.700679901
380	303434.556025777
400	342504.823269325
420	383931.756065948
440	427670.700215104
460	473672.878244804
480	521886.09179306
500	572255.349261365
520	624723.425608102
540	679231.360582848
560	735718.90117431
580	794124.893553802
600	854387.629341094
620	916445.150598639
640	980235.517571848
660	1045697.04283546
680	1112768.49517738
700	1181389.27624975
720	1251499.57274071
740	1323040.48656724
760	1395954.14535874
780	1470183.7952895
800	1545673.87812615
820	1622370.09418035
840	1700219.45269737
860	1779170.31106552
880	1859172.40409912
900	1940176.86452709
920	2022136.23571003
940	2105004.47750877
960	2188736.96613731
980	2273290.48875096
1000	2358623.23344561
1020	2444694.77527684
1040	2531466.05884605
1060	2618899.37794488
1080	2706958.35269898
1100	2795607.90460644
1120	2884814.22982424
1140	2974544.77101916
1160	3064768.18806502
1180	3155454.32783743
1200	3246574.19332959
1220	3338099.91228707
1240	3430004.70553697
1260	3522262.85516612
1280	3614849.67268448
1300	3707741.46729306
1320	3800915.51436035
1340	3894350.02419811
1360	3988024.11121443
1380	4081917.76351156
1400	4176011.81298557
1420	4270287.90597634
1440	4364728.47450831
1460	4459316.70815504
1480	4554036.52655482
1500	4648872.55259809
1520	4743810.08630312
1540	4838835.07939141
1560	4933934.11057039
1580	5029094.36152768
1600	5124303.59363765
1620	5219550.12537876
1640	5314822.8104574
1660	5410111.016632
1680	5505404.60522947
1700	5600693.91134438
1720	5695969.72470983
1740	5791223.27122816
1760	5886446.19514838
1780	5981630.5418767
1800	6076768.74140559
1820	6171853.59234662
1840	6266878.24655173
1860	6361836.19430729
1880	6456721.25008532
1900	6551527.53883588
1920	6646249.48280469
1940	6740881.78886019
1960	6835419.43631412
1980	6929857.66521987
2000	7024191.96513325
2020	7118418.06432018
2040	7212531.91939624
2060	7306529.70538334
2080	7400407.80616883
2100	7494162.80535288
2120	7587791.47747027
2140	7681290.77957271
2160	7774657.84315887
2180	7867889.96643876
2200	7960984.60692022
2220	8053939.37430511
2240	8146752.02368351
2260	8239420.44901427
2280	8331942.67688092
2300	8424316.86051203
2320	8516541.27405567
2340	8608614.30709775
2360	8700534.45941471
2380	8792300.33595086
2400	8883910.64201151
2420	8975364.17866291
2440	9066659.83833069
2460	9157796.6005887
2480	9248773.52813014
2500	9339589.76291365
2520	9430244.52247699
2540	9520737.0964114
2560	9611066.84298965
2580	9701233.18594166
2600	9791235.61137131
2620	9881073.66480816
2640	9970746.94838901
2660	10060255.118163
2680	10149597.8815159
2700	10238774.9947071
2720	10327786.2605164
2740	10416631.5259935
2760	10505310.6803085
2780	10593823.6526962
2800	10682170.4104928
2820	10770350.9572585
2840	10858365.3309844
2860	10946213.6023788
2880	11033895.8732301
2900	11121412.2748417
2920	11208762.966538
2940	11295948.1342359
2960	11382967.989081
2980	11469822.766144
3000	11556512.7231763
3020	11643038.1394203
3040	11729399.314474
3060	11815596.567206
3080	11901630.2347192
3100	11987500.6713612
3120	12073208.2477795
3140	12158753.3500187
3160	12244136.3786586
3180	12329357.7479914
3200	12414417.8852357
3220	12499317.2297863
3240	12584056.2324978
3260	12668635.3550007
3280	12753055.0690485
3300	12837315.8558943
3320	12921418.205696
3340	13005362.6169487
3360	13089149.5959422
3380	13172779.6562439
3400	13256253.3182055
3420	13339571.1084918
3440	13422733.5596311
3460	13505741.2095867
3480	13588594.6013476
3500	13671294.2825386
3520	13753840.8050476
3540	13836234.7246714
3560	13918476.6007763
3580	14000566.995976
3600	14082506.4758236
3620	14164295.6085182
3640	14245934.9646254
3660	14327425.1168106
3680	14408766.6395855
3700	14489960.1090654
3720	14571006.1027394
3740	14651905.1992506
3760	14732657.9781871
3780	14813265.0198828
3800	14893726.9052282
3820	14974044.2154898
3840	15054217.532139
3860	15134247.4366883
3880	15214134.5105366
